Beetle Name,Beetle number
Necrophrous vespillo,1
Eucirus longimanus,2
emus hirtus,3
chrysochroa fulgidissima,4
tricondyla aptera,5
Chrysochroa ocellata,6
Polybothris auriventris,7
ceratorrhina torquata,8
Geotrupes typhoeus,9
alaus lacetus,10
ctenicera nobilis,11
stephanorrhina guttata,12
polyphylla crinita,13
Dyticus marginalis,14
Goliathus regius,15
Hydrophilus Aterrinius,16
Heterorrhina dohrni,17
Julodis rubrohirta,18
Heliocopris bucephalus,19
anthia 6-guttata,20
Cararabus auratus,21
Cicindela chinesis,22
eriocneumis ptox ,23
dynastos tityus,24
Acalymma vittata,25
"Pelidnota punctata",26
Agra chocha,27
Aspasiola esijhe,28
